"measure","group_1","group_2","n_1","n_2","mean_1","sd_1","se_1","mean_1_ci_lo","mean_1_ci_hi","mean_2","sd_2","se_2","mean_2_ci_lo","mean_2_ci_hi","mean_diff","diff_ci_lo","diff_ci_hi","t_welch","df_welch","p_welch","p_welch_FDR","t_student","df_student","p_student","W_wilcoxon","p_wilcoxon","cohens_d","hedges_g","d_ci_lo","d_ci_hi","p_shapiro_1","p_shapiro_2","p_var_equal","ci_bars_overlap","significant_welch","mde_80_power"
"5-HT4","Hydrocodone group","Tramadol group",25,23,-0.114954045976435,0.448094798576677,0.0896189597153353,-0.299918488027515,0.0700103960746458,0.0882936875250274,0.445268411213229,0.0928448818622511,-0.104254812461826,0.280842187511881,-0.203247733501462,-0.463038610853859,0.056543143850935,-1.57505611351104,45.7154019212253,0.12213941251684,0.12213941251684,-1.57463189158436,46,0.122194901692905,212,0.121666094744355,-0.454952168554659,-0.447493936283271,-1.02850313044133,0.118598793332012,0.655781626062382,0.934012114112097,0.980932826785456,TRUE,FALSE,0.36940565315573
"5-HT6","Hydrocodone group","Tramadol group",25,23,-0.0644495469335377,0.311249795032016,0.0622499590064032,-0.192927147788257,0.0640280539211814,-0.268837666987322,0.308615745884654,0.0643508314219257,-0.402293123170486,-0.135382210804158,0.204388120053784,0.0241397009588788,0.38463653914869,2.28283457050204,45.7307561961376,0.0271379209252208,0.0271379209252208,2.28200878002176,46,0.0271623759542329,385,0.0453014306042474,0.659331776957123,0.648523059302089,0.077890771145049,1.2407727827692,0.512399354397093,0.418015804188044,0.97272736539104,TRUE,TRUE,0.256327503176307
"5-HT4 & 5-HT6 mean","Hydrocodone group","Tramadol group",25,23,-0.0897017964549862,0.320569602120183,0.0641139204240367,-0.222026424598489,0.0426228316885168,-0.0902719897311473,0.340587243310912,0.0710173494742891,-0.237552958159804,0.057008978697509,0.000570193276161132,-0.19212742733048,0.193267813882803,0.00595957438421495,45.0460546546936,0.995271290922292,0.995271290922292,0.00597494420080897,46,0.995258550113096,294,0.901453481580601,0.00172631701141022,0.00169801673253464,-0.564558435392979,0.568011069415799,0.526459154012666,0.501146869694523,0.769269913137302,TRUE,FALSE,0.273114719496857
