"receptor_set","outcome","group_1","group_2","n_1","n_2","mean_X_1","mean_X_2","sd_X_1","sd_X_2","mean_diff","ci_lo","ci_hi","t","df","p_value","cohens_d","significant"
"All_Receptors","NRS","Hydrocodone only","Tramadol only",25,23,0.00328848078046446,0.0165875224251622,0.0183592304472712,0.0242590335983371,-0.0132990416446978,-0.0259233553156957,-0.000674727973699892,-2.12765763628596,40.8868253804782,0.0394429607331749,-0.621888670157125,TRUE
"All_Receptors","PC1","Hydrocodone only","Tramadol only",25,23,0.00328848078046446,0.0165875224251622,0.0183592304472712,0.0242590335983371,-0.0132990416446978,-0.0259233553156957,-0.000674727973699892,-2.12765763628596,40.8868253804782,0.0394429607331749,-0.621888670157125,TRUE
"All_Receptors","PC2","Hydrocodone only","Tramadol only",25,23,0.00328848078046446,0.0165875224251622,0.0183592304472712,0.0242590335983371,-0.0132990416446978,-0.0259233553156957,-0.000674727973699892,-2.12765763628596,40.8868253804782,0.0394429607331749,-0.621888670157125,TRUE
"All_Receptors","PC3","Hydrocodone only","Tramadol only",25,23,0.00328848078046446,0.0165875224251622,0.0183592304472712,0.0242590335983371,-0.0132990416446978,-0.0259233553156957,-0.000674727973699892,-2.12765763628596,40.8868253804782,0.0394429607331749,-0.621888670157125,TRUE
"MOR_Only","NRS","Hydrocodone only","Tramadol only",25,23,0.622947977692918,0.613190857480061,0.519613862464514,0.537445351616691,0.00975712021285657,-0.298001098680398,0.317515339106111,0.0638408856041483,45.3589679904726,0.949377441906563,0.0184718001504693,FALSE
"MOR_Only","PC1","Hydrocodone only","Tramadol only",25,23,0.622947977692918,0.613190857480061,0.519613862464514,0.537445351616691,0.00975712021285657,-0.298001098680398,0.317515339106111,0.0638408856041483,45.3589679904726,0.949377441906563,0.0184718001504693,FALSE
"MOR_Only","PC2","Hydrocodone only","Tramadol only",25,23,0.622947977692918,0.613190857480061,0.519613862464514,0.537445351616691,0.00975712021285657,-0.298001098680398,0.317515339106111,0.0638408856041483,45.3589679904726,0.949377441906563,0.0184718001504693,FALSE
"MOR_Only","PC3","Hydrocodone only","Tramadol only",25,23,0.622947977692918,0.613190857480061,0.519613862464514,0.537445351616691,0.00975712021285657,-0.298001098680398,0.317515339106111,0.0638408856041483,45.3589679904726,0.949377441906563,0.0184718001504693,FALSE
"HT1A_Only","NRS","Hydrocodone only","Tramadol only",25,23,-0.231437417516261,-0.0609727105806712,0.351313110039083,0.322484513270622,-0.17046470693559,-0.366227602748582,0.0252981888774018,-1.7527716813547,45.9999916576296,0.0863041794055379,-0.504583376696209,FALSE
"HT1A_Only","PC1","Hydrocodone only","Tramadol only",25,23,-0.231437417516261,-0.0609727105806712,0.351313110039083,0.322484513270622,-0.17046470693559,-0.366227602748582,0.0252981888774018,-1.7527716813547,45.9999916576296,0.0863041794055379,-0.504583376696209,FALSE
"HT1A_Only","PC2","Hydrocodone only","Tramadol only",25,23,-0.231437417516261,-0.0609727105806712,0.351313110039083,0.322484513270622,-0.17046470693559,-0.366227602748582,0.0252981888774018,-1.7527716813547,45.9999916576296,0.0863041794055379,-0.504583376696209,FALSE
"HT1A_Only","PC3","Hydrocodone only","Tramadol only",25,23,-0.231437417516261,-0.0609727105806712,0.351313110039083,0.322484513270622,-0.17046470693559,-0.366227602748582,0.0252981888774018,-1.7527716813547,45.9999916576296,0.0863041794055379,-0.504583376696209,FALSE
"HT2A_Only","NRS","Hydrocodone only","Tramadol only",25,23,0.00551399406379501,-0.0770957834278789,0.501520823203987,0.446129480994547,0.0826097774916739,-0.192763522236685,0.357983077220033,0.603868939382028,45.9536623744655,0.548900376837698,0.17361032440401,FALSE
"HT2A_Only","PC1","Hydrocodone only","Tramadol only",25,23,0.00551399406379501,-0.0770957834278789,0.501520823203987,0.446129480994547,0.0826097774916739,-0.192763522236685,0.357983077220033,0.603868939382028,45.9536623744655,0.548900376837698,0.17361032440401,FALSE
"HT2A_Only","PC2","Hydrocodone only","Tramadol only",25,23,0.00551399406379501,-0.0770957834278789,0.501520823203987,0.446129480994547,0.0826097774916739,-0.192763522236685,0.357983077220033,0.603868939382028,45.9536623744655,0.548900376837698,0.17361032440401,FALSE
"HT2A_Only","PC3","Hydrocodone only","Tramadol only",25,23,0.00551399406379501,-0.0770957834278789,0.501520823203987,0.446129480994547,0.0826097774916739,-0.192763522236685,0.357983077220033,0.603868939382028,45.9536623744655,0.548900376837698,0.17361032440401,FALSE
"HT6_Only","NRS","Hydrocodone only","Tramadol only",25,23,-0.0644495469335377,-0.268837666987322,0.311249795032016,0.308615745884654,0.204388120053784,0.0241397009588788,0.38463653914869,2.28283457050204,45.7307561961376,0.0271379209252208,0.659331776957123,TRUE
"HT6_Only","PC1","Hydrocodone only","Tramadol only",25,23,-0.0644495469335377,-0.268837666987322,0.311249795032016,0.308615745884654,0.204388120053784,0.0241397009588788,0.38463653914869,2.28283457050204,45.7307561961376,0.0271379209252208,0.659331776957123,TRUE
"HT6_Only","PC2","Hydrocodone only","Tramadol only",25,23,-0.0644495469335377,-0.268837666987322,0.311249795032016,0.308615745884654,0.204388120053784,0.0241397009588788,0.38463653914869,2.28283457050204,45.7307561961376,0.0271379209252208,0.659331776957123,TRUE
"HT6_Only","PC3","Hydrocodone only","Tramadol only",25,23,-0.0644495469335377,-0.268837666987322,0.311249795032016,0.308615745884654,0.204388120053784,0.0241397009588788,0.38463653914869,2.28283457050204,45.7307561961376,0.0271379209252208,0.659331776957123,TRUE
"HT4_Only","NRS","Hydrocodone only","Tramadol only",25,23,-0.114954045976435,0.0882936875250274,0.448094798576677,0.445268411213229,-0.203247733501462,-0.463038610853859,0.056543143850935,-1.57505611351104,45.7154019212253,0.12213941251684,-0.454952168554659,FALSE
"HT4_Only","PC1","Hydrocodone only","Tramadol only",25,23,-0.114954045976435,0.0882936875250274,0.448094798576677,0.445268411213229,-0.203247733501462,-0.463038610853859,0.056543143850935,-1.57505611351104,45.7154019212253,0.12213941251684,-0.454952168554659,FALSE
